/home/zl22853/code/GeoBS/baselines/main.py:150: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  lats, lons = np.radians(loc_tr[:,1]), np.radians(loc_tr[:,0])
GPU Name: NVIDIA RTX A6000
Loading nabirds_with_loc_2019.json - train
   using meta data: ebird_meta
	 22819 total entries
	 22819 entries with images
	 22599 entries with meta data
Loading nabirds_with_loc_2019.json - test
   using meta data: ebird_meta
	 24633 total entries
	 24633 entries with images
	 24411 entries with meta data
Check the radian of input data! tensor([-117,   33])
Training for 50 epochs.
[epoch 1, batch    30] loss: 6.304
[epoch 1, batch    60] loss: 6.173
[epoch 1, batch    90] loss: 5.567
[epoch 1, batch   120] loss: 4.444
[epoch 1, batch   150] loss: 3.212
[epoch 1, batch   180] loss: 2.215
[epoch 1, batch   210] loss: 1.651
[epoch 1, batch   240] loss: 1.287
[epoch 1, batch   270] loss: 1.256
[epoch 1, batch   300] loss: 0.921
[epoch 1, batch   330] loss: 0.881
[epoch 1, batch   360] loss: 1.038
[epoch 1, batch   390] loss: 0.831
[epoch 1, batch   420] loss: 0.778
[epoch 1, batch   450] loss: 0.752
[epoch 1, batch   480] loss: 0.753
[epoch 1, batch   510] loss: 0.598
[epoch 1, batch   540] loss: 0.801
[epoch 1, batch   570] loss: 0.664
[epoch 1, batch   600] loss: 0.664
[epoch 1, batch   630] loss: 0.634
[epoch 1, batch   660] loss: 0.602
[epoch 1, batch   690] loss: 0.515
epoch 1 mean loss: 1.8203
[epoch 2, batch    30] loss: 0.456
[epoch 2, batch    60] loss: 0.474
[epoch 2, batch    90] loss: 0.435
[epoch 2, batch   120] loss: 0.398
[epoch 2, batch   150] loss: 0.445
[epoch 2, batch   180] loss: 0.447
[epoch 2, batch   210] loss: 0.329
[epoch 2, batch   240] loss: 0.469
[epoch 2, batch   270] loss: 0.448
[epoch 2, batch   300] loss: 0.362
[epoch 2, batch   330] loss: 0.470
[epoch 2, batch   360] loss: 0.448
[epoch 2, batch   390] loss: 0.406
[epoch 2, batch   420] loss: 0.437
[epoch 2, batch   450] loss: 0.388
[epoch 2, batch   480] loss: 0.422
[epoch 2, batch   510] loss: 0.443
[epoch 2, batch   540] loss: 0.394
[epoch 2, batch   570] loss: 0.468
[epoch 2, batch   600] loss: 0.401
[epoch 2, batch   630] loss: 0.327
[epoch 2, batch   660] loss: 0.343
[epoch 2, batch   690] loss: 0.431
epoch 2 mean loss: 0.4173
[epoch 3, batch    30] loss: 0.361
[epoch 3, batch    60] loss: 0.346
[epoch 3, batch    90] loss: 0.332
[epoch 3, batch   120] loss: 0.235
[epoch 3, batch   150] loss: 0.346
[epoch 3, batch   180] loss: 0.316
[epoch 3, batch   210] loss: 0.338
[epoch 3, batch   240] loss: 0.380
[epoch 3, batch   270] loss: 0.309
[epoch 3, batch   300] loss: 0.305
[epoch 3, batch   330] loss: 0.287
[epoch 3, batch   360] loss: 0.339
[epoch 3, batch   390] loss: 0.339
[epoch 3, batch   420] loss: 0.329
[epoch 3, batch   450] loss: 0.386
[epoch 3, batch   480] loss: 0.281
[epoch 3, batch   510] loss: 0.325
[epoch 3, batch   540] loss: 0.300
[epoch 3, batch   570] loss: 0.295
[epoch 3, batch   600] loss: 0.312
[epoch 3, batch   630] loss: 0.302
[epoch 3, batch   660] loss: 0.339
[epoch 3, batch   690] loss: 0.310
epoch 3 mean loss: 0.3219
[epoch 4, batch    30] loss: 0.283
[epoch 4, batch    60] loss: 0.261
[epoch 4, batch    90] loss: 0.206
[epoch 4, batch   120] loss: 0.310
[epoch 4, batch   150] loss: 0.229
[epoch 4, batch   180] loss: 0.223
[epoch 4, batch   210] loss: 0.225
[epoch 4, batch   240] loss: 0.302
[epoch 4, batch   270] loss: 0.236
[epoch 4, batch   300] loss: 0.260
[epoch 4, batch   330] loss: 0.235
[epoch 4, batch   360] loss: 0.241
[epoch 4, batch   390] loss: 0.247
[epoch 4, batch   420] loss: 0.235
[epoch 4, batch   450] loss: 0.222
[epoch 4, batch   480] loss: 0.213
[epoch 4, batch   510] loss: 0.296
[epoch 4, batch   540] loss: 0.256
[epoch 4, batch   570] loss: 0.298
[epoch 4, batch   600] loss: 0.260
[epoch 4, batch   630] loss: 0.274
[epoch 4, batch   660] loss: 0.224
[epoch 4, batch   690] loss: 0.291
epoch 4 mean loss: 0.2528
[epoch 5, batch    30] loss: 0.190
[epoch 5, batch    60] loss: 0.226
[epoch 5, batch    90] loss: 0.191
[epoch 5, batch   120] loss: 0.262
[epoch 5, batch   150] loss: 0.148
[epoch 5, batch   180] loss: 0.199
[epoch 5, batch   210] loss: 0.172
[epoch 5, batch   240] loss: 0.161
[epoch 5, batch   270] loss: 0.187
[epoch 5, batch   300] loss: 0.246
[epoch 5, batch   330] loss: 0.206
[epoch 5, batch   360] loss: 0.214
[epoch 5, batch   390] loss: 0.155
[epoch 5, batch   420] loss: 0.235
[epoch 5, batch   450] loss: 0.276
[epoch 5, batch   480] loss: 0.158
[epoch 5, batch   510] loss: 0.221
[epoch 5, batch   540] loss: 0.228
[epoch 5, batch   570] loss: 0.192
[epoch 5, batch   600] loss: 0.212
[epoch 5, batch   630] loss: 0.158
[epoch 5, batch   660] loss: 0.215
[epoch 5, batch   690] loss: 0.229
epoch 5 mean loss: 0.2051
[epoch 6, batch    30] loss: 0.205
[epoch 6, batch    60] loss: 0.153
[epoch 6, batch    90] loss: 0.212
[epoch 6, batch   120] loss: 0.207
[epoch 6, batch   150] loss: 0.163
[epoch 6, batch   180] loss: 0.148
[epoch 6, batch   210] loss: 0.170
[epoch 6, batch   240] loss: 0.171
[epoch 6, batch   270] loss: 0.138
[epoch 6, batch   300] loss: 0.155
[epoch 6, batch   330] loss: 0.180
[epoch 6, batch   360] loss: 0.177
[epoch 6, batch   390] loss: 0.185
[epoch 6, batch   420] loss: 0.159
[epoch 6, batch   450] loss: 0.145
[epoch 6, batch   480] loss: 0.124
[epoch 6, batch   510] loss: 0.155
[epoch 6, batch   540] loss: 0.162
[epoch 6, batch   570] loss: 0.155
[epoch 6, batch   600] loss: 0.220
[epoch 6, batch   630] loss: 0.222
[epoch 6, batch   660] loss: 0.217
[epoch 6, batch   690] loss: 0.166
epoch 6 mean loss: 0.1736
[epoch 7, batch    30] loss: 0.174
[epoch 7, batch    60] loss: 0.171
[epoch 7, batch    90] loss: 0.132
[epoch 7, batch   120] loss: 0.142
[epoch 7, batch   150] loss: 0.185
[epoch 7, batch   180] loss: 0.139
[epoch 7, batch   210] loss: 0.143
[epoch 7, batch   240] loss: 0.147
[epoch 7, batch   270] loss: 0.182
[epoch 7, batch   300] loss: 0.123
[epoch 7, batch   330] loss: 0.117
[epoch 7, batch   360] loss: 0.145
[epoch 7, batch   390] loss: 0.132
[epoch 7, batch   420] loss: 0.170
[epoch 7, batch   450] loss: 0.078
[epoch 7, batch   480] loss: 0.154
[epoch 7, batch   510] loss: 0.131
[epoch 7, batch   540] loss: 0.177
[epoch 7, batch   570] loss: 0.191
[epoch 7, batch   600] loss: 0.152
[epoch 7, batch   630] loss: 0.154
[epoch 7, batch   660] loss: 0.119
[epoch 7, batch   690] loss: 0.130
epoch 7 mean loss: 0.1475
[epoch 8, batch    30] loss: 0.126
[epoch 8, batch    60] loss: 0.103
[epoch 8, batch    90] loss: 0.128
[epoch 8, batch   120] loss: 0.143
[epoch 8, batch   150] loss: 0.097
[epoch 8, batch   180] loss: 0.080
[epoch 8, batch   210] loss: 0.143
[epoch 8, batch   240] loss: 0.137
[epoch 8, batch   270] loss: 0.126
[epoch 8, batch   300] loss: 0.146
[epoch 8, batch   330] loss: 0.108
[epoch 8, batch   360] loss: 0.128
[epoch 8, batch   390] loss: 0.104
[epoch 8, batch   420] loss: 0.138
[epoch 8, batch   450] loss: 0.098
[epoch 8, batch   480] loss: 0.105
[epoch 8, batch   510] loss: 0.141
[epoch 8, batch   540] loss: 0.151
[epoch 8, batch   570] loss: 0.118
[epoch 8, batch   600] loss: 0.143
[epoch 8, batch   630] loss: 0.122
[epoch 8, batch   660] loss: 0.155
[epoch 8, batch   690] loss: 0.120
epoch 8 mean loss: 0.1246
[epoch 9, batch    30] loss: 0.139
[epoch 9, batch    60] loss: 0.078
[epoch 9, batch    90] loss: 0.099
[epoch 9, batch   120] loss: 0.131
[epoch 9, batch   150] loss: 0.107
[epoch 9, batch   180] loss: 0.145
[epoch 9, batch   210] loss: 0.106
[epoch 9, batch   240] loss: 0.085
[epoch 9, batch   270] loss: 0.116
[epoch 9, batch   300] loss: 0.136
[epoch 9, batch   330] loss: 0.125
[epoch 9, batch   360] loss: 0.107
[epoch 9, batch   390] loss: 0.153
[epoch 9, batch   420] loss: 0.119
[epoch 9, batch   450] loss: 0.092
[epoch 9, batch   480] loss: 0.117
[epoch 9, batch   510] loss: 0.177
[epoch 9, batch   540] loss: 0.091
[epoch 9, batch   570] loss: 0.121
[epoch 9, batch   600] loss: 0.146
[epoch 9, batch   630] loss: 0.169
[epoch 9, batch   660] loss: 0.134
[epoch 9, batch   690] loss: 0.080
epoch 9 mean loss: 0.1207
[epoch 10, batch    30] loss: 0.083
[epoch 10, batch    60] loss: 0.087
[epoch 10, batch    90] loss: 0.119
[epoch 10, batch   120] loss: 0.086
[epoch 10, batch   150] loss: 0.125
[epoch 10, batch   180] loss: 0.102
[epoch 10, batch   210] loss: 0.121
[epoch 10, batch   240] loss: 0.096
[epoch 10, batch   270] loss: 0.084
[epoch 10, batch   300] loss: 0.140
[epoch 10, batch   330] loss: 0.107
[epoch 10, batch   360] loss: 0.117
[epoch 10, batch   390] loss: 0.124
[epoch 10, batch   420] loss: 0.117
[epoch 10, batch   450] loss: 0.174
[epoch 10, batch   480] loss: 0.141
[epoch 10, batch   510] loss: 0.103
[epoch 10, batch   540] loss: 0.094
[epoch 10, batch   570] loss: 0.126
[epoch 10, batch   600] loss: 0.088
[epoch 10, batch   630] loss: 0.075
[epoch 10, batch   660] loss: 0.075
[epoch 10, batch   690] loss: 0.108
epoch 10 mean loss: 0.1072
[epoch 11, batch    30] loss: 0.119
[epoch 11, batch    60] loss: 0.095
[epoch 11, batch    90] loss: 0.145
[epoch 11, batch   120] loss: 0.092
[epoch 11, batch   150] loss: 0.112
[epoch 11, batch   180] loss: 0.094
[epoch 11, batch   210] loss: 0.120
[epoch 11, batch   240] loss: 0.098
[epoch 11, batch   270] loss: 0.074
[epoch 11, batch   300] loss: 0.124
[epoch 11, batch   330] loss: 0.100
[epoch 11, batch   360] loss: 0.050
[epoch 11, batch   390] loss: 0.091
[epoch 11, batch   420] loss: 0.102
[epoch 11, batch   450] loss: 0.100
[epoch 11, batch   480] loss: 0.087
[epoch 11, batch   510] loss: 0.070
[epoch 11, batch   540] loss: 0.110
[epoch 11, batch   570] loss: 0.120
[epoch 11, batch   600] loss: 0.079
[epoch 11, batch   630] loss: 0.109
[epoch 11, batch   660] loss: 0.088
[epoch 11, batch   690] loss: 0.082
epoch 11 mean loss: 0.0975
[epoch 12, batch    30] loss: 0.090
[epoch 12, batch    60] loss: 0.050
[epoch 12, batch    90] loss: 0.056
[epoch 12, batch   120] loss: 0.071
[epoch 12, batch   150] loss: 0.098
[epoch 12, batch   180] loss: 0.090
[epoch 12, batch   210] loss: 0.126
[epoch 12, batch   240] loss: 0.109
[epoch 12, batch   270] loss: 0.058
[epoch 12, batch   300] loss: 0.048
[epoch 12, batch   330] loss: 0.094
[epoch 12, batch   360] loss: 0.096
[epoch 12, batch   390] loss: 0.101
[epoch 12, batch   420] loss: 0.099
[epoch 12, batch   450] loss: 0.098
[epoch 12, batch   480] loss: 0.078
[epoch 12, batch   510] loss: 0.140
[epoch 12, batch   540] loss: 0.081
[epoch 12, batch   570] loss: 0.067
[epoch 12, batch   600] loss: 0.074
[epoch 12, batch   630] loss: 0.125
[epoch 12, batch   660] loss: 0.079
[epoch 12, batch   690] loss: 0.076
epoch 12 mean loss: 0.0871
[epoch 13, batch    30] loss: 0.079
[epoch 13, batch    60] loss: 0.088
[epoch 13, batch    90] loss: 0.082
[epoch 13, batch   120] loss: 0.075
[epoch 13, batch   150] loss: 0.117
[epoch 13, batch   180] loss: 0.104
[epoch 13, batch   210] loss: 0.097
[epoch 13, batch   240] loss: 0.080
[epoch 13, batch   270] loss: 0.091
[epoch 13, batch   300] loss: 0.079
[epoch 13, batch   330] loss: 0.093
[epoch 13, batch   360] loss: 0.083
[epoch 13, batch   390] loss: 0.064
[epoch 13, batch   420] loss: 0.086
[epoch 13, batch   450] loss: 0.086
[epoch 13, batch   480] loss: 0.058
[epoch 13, batch   510] loss: 0.093
[epoch 13, batch   540] loss: 0.053
[epoch 13, batch   570] loss: 0.111
[epoch 13, batch   600] loss: 0.118
[epoch 13, batch   630] loss: 0.163
[epoch 13, batch   660] loss: 0.096
[epoch 13, batch   690] loss: 0.114
epoch 13 mean loss: 0.0917
[epoch 14, batch    30] loss: 0.070
[epoch 14, batch    60] loss: 0.041
[epoch 14, batch    90] loss: 0.088
[epoch 14, batch   120] loss: 0.072
[epoch 14, batch   150] loss: 0.060
[epoch 14, batch   180] loss: 0.057
[epoch 14, batch   210] loss: 0.089
[epoch 14, batch   240] loss: 0.051
[epoch 14, batch   270] loss: 0.061
[epoch 14, batch   300] loss: 0.060
[epoch 14, batch   330] loss: 0.096
[epoch 14, batch   360] loss: 0.104
[epoch 14, batch   390] loss: 0.077
[epoch 14, batch   420] loss: 0.075
[epoch 14, batch   450] loss: 0.077
[epoch 14, batch   480] loss: 0.104
[epoch 14, batch   510] loss: 0.058
[epoch 14, batch   540] loss: 0.086
[epoch 14, batch   570] loss: 0.113
[epoch 14, batch   600] loss: 0.078
[epoch 14, batch   630] loss: 0.073
[epoch 14, batch   660] loss: 0.126
[epoch 14, batch   690] loss: 0.062
epoch 14 mean loss: 0.0765
[epoch 15, batch    30] loss: 0.071
[epoch 15, batch    60] loss: 0.094
[epoch 15, batch    90] loss: 0.119
[epoch 15, batch   120] loss: 0.057
[epoch 15, batch   150] loss: 0.068
[epoch 15, batch   180] loss: 0.072
[epoch 15, batch   210] loss: 0.082
