/home/zl22853/code/GeoBS/baselines/main.py:149: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  lats, lons = np.radians(loc_tr[:,1]), np.radians(loc_tr[:,0])
GPU Name: NVIDIA RTX A6000
Loading nabirds_with_loc_2019.json - train
   using meta data: ebird_meta
	 22819 total entries
	 22819 entries with images
	 22599 entries with meta data
Loading nabirds_with_loc_2019.json - test
   using meta data: ebird_meta
	 24633 total entries
	 24633 entries with images
	 24411 entries with meta data
Check the radian of input data! tensor([-117,   33])
Training for 50 epochs.
[epoch 1, batch    30] loss: 6.302
[epoch 1, batch    60] loss: 6.126
[epoch 1, batch    90] loss: 5.401
[epoch 1, batch   120] loss: 4.311
[epoch 1, batch   150] loss: 2.778
[epoch 1, batch   180] loss: 1.941
[epoch 1, batch   210] loss: 1.601
[epoch 1, batch   240] loss: 1.367
[epoch 1, batch   270] loss: 1.067
[epoch 1, batch   300] loss: 0.969
[epoch 1, batch   330] loss: 0.980
[epoch 1, batch   360] loss: 0.876
[epoch 1, batch   390] loss: 0.783
[epoch 1, batch   420] loss: 0.787
[epoch 1, batch   450] loss: 0.717
[epoch 1, batch   480] loss: 0.796
[epoch 1, batch   510] loss: 0.787
[epoch 1, batch   540] loss: 0.681
[epoch 1, batch   570] loss: 0.687
[epoch 1, batch   600] loss: 0.765
[epoch 1, batch   630] loss: 0.709
[epoch 1, batch   660] loss: 0.626
[epoch 1, batch   690] loss: 0.672
epoch 1 mean loss: 1.7859
[epoch 2, batch    30] loss: 0.442
[epoch 2, batch    60] loss: 0.516
[epoch 2, batch    90] loss: 0.456
[epoch 2, batch   120] loss: 0.398
[epoch 2, batch   150] loss: 0.476
[epoch 2, batch   180] loss: 0.456
[epoch 2, batch   210] loss: 0.510
[epoch 2, batch   240] loss: 0.478
[epoch 2, batch   270] loss: 0.474
[epoch 2, batch   300] loss: 0.444
[epoch 2, batch   330] loss: 0.438
[epoch 2, batch   360] loss: 0.513
[epoch 2, batch   390] loss: 0.447
[epoch 2, batch   420] loss: 0.495
